,version run,stock,version,model,rmse,mae,actual_price,predicted_price,rows,train_rows,test_rows,columns
0,1,cgc,1+ETFs,LinearRegression(),0.3746048240473325,0.2584214196135203,5.19,6.002075355761349,2047,1842,205,160
1,1,crlbf,1+ETFs,LinearRegression(),0.1878483903737696,0.149452456247865,4.14,3.8648234762719937,873,785,88,160
2,3,cron,All stocks,LinearRegression(),0.1417242100394586,0.1130357196109628,3.18,3.52538272733284,1067,960,107,264
3,1,curlf,1+ETFs,LinearRegression(),0.1822025459185455,0.1422730907427694,6.05,6.231866610880672,897,807,90,160
4,2,gtbif,1+ETFs+Dow,LinearRegression(),0.3551540204139976,0.273537268765033,12.75,13.132380249022049,992,892,100,186
5,0,iipr,1+Dow,LinearRegression(),5.107221255760969,4.16023369230357,128.990005,134.33410438569786,1377,1239,138,56
6,1,tcnnf,1+ETFs,LinearRegression(),0.3863398417790146,0.3056016022200589,15.0,14.620529830714304,919,827,92,160
7,0,tlry,1+Dow,LinearRegression(),1.2892056727538677,1.0542050843813602,4.49,4.286098390453844,968,871,97,56
8,1,trssf,1+ETFs,LinearRegression(),0.162103668301673,0.1264054524628652,3.99,3.773157152615085,1134,1020,114,160
9,1,vrnof,1+ETFs,LinearRegression(),0.2495914754267817,0.2022064431034423,7.5,7.29717070908373,318,286,32,160
